subject,topic_type,topic_id,top_words,coherence_score,n_articles,real_weight,fake_weight,difference,pattern
Politics/Government,real,REAL_T1,"earlier, preferences, changes, primary, com, march, racial, happened",0.16669934742205994,150.0,,,,
Politics/Government,real,REAL_T2,"earlier, preferences, changes, primary, com, march, racial, happened",0.1666993484117673,150.0,,,,
Politics/Government,real,REAL_T3,"said, house, court, senate, committee, law, representatives, house representatives",3.493248986957732,150.0,,,,
Politics/Government,real,REAL_T4,"earlier, preferences, changes, primary, com, march, racial, happened",0.16669934841372339,150.0,,,,
Politics/Government,real,REAL_T5,"trump, said, president, republican, reuters, tax, washington, united",7.682311530756769,150.0,,,,
Politics/Government,real,REAL_T6,"earlier, preferences, changes, primary, com, march, racial, happened",0.16669934841098205,150.0,,,,
Politics/Government,fake,FAKE_T1,"cia, ross, acosta, park, vietnamese, obama, administration, vietnam",0.7522294922088266,138.0,,,,
Politics/Government,fake,FAKE_T2,"professor, fraud, fox news, fox, watch, news, positions, obamacare",0.46745451466736965,138.0,,,,
Politics/Government,fake,FAKE_T3,"trump, hillary, president, clinton, people, said, police, just",5.913184641591656,138.0,,,,
Politics/Government,fake,FAKE_T4,"nato, washington post, republican presidential, costs, role, spending, discussed, questions",0.2618736636909825,138.0,,,,
Politics/Government,fake,FAKE_T5,"president elect, elect, cabinet, areas, saturday, chairman, foundation, begin",0.28099506627026655,138.0,,,,
Politics/Government,fake,FAKE_T6,"positions, obamacare, medicaid, relationship, acosta, healthcare, taxes, real estate",0.1666906163325998,138.0,,,,
Politics/Government,comparative,CMP_T9,"said, russia, president, china, white house, tillerson, white, house",,,0.07084056077095711,0.016284658540183558,-0.054555902230773556,REAL
Politics/Government,comparative,CMP_T5,"tax, house, senate, republican, republicans, said, plan, obamacare",,,0.06121752870189712,0.008245242086010253,-0.05297228661588686,REAL
Politics/Government,comparative,CMP_T8,"police, man, video, shooting, said, women, arrested, city",,,0.017135978885165735,0.061741315695680664,0.04460533681051493,FAKE
Politics/Government,comparative,CMP_T4,"clinton, hillary, email, hillary clinton, state, emails, state department, got",,,0.013710750033868695,0.049399659373712906,0.03568890933984421,FAKE
Politics/Government,comparative,CMP_T2,"twitter com, pic twitter, pic, com, twitter, september, july, ohio",,,0.002903471543522918,0.03611594677560309,0.03321247523208017,FAKE
Politics/Government,comparative,CMP_T10,"fox, fox news, news, cruz, kelly, debate, republican, presidential",,,0.04780722904034032,0.023275272093085334,-0.024531956947254987,REAL
Politics/Government,comparative,CMP_T6,"court, supreme court, supreme, ban, justice, judge, order, appeals",,,0.038794953156952236,0.021443530037040602,-0.017351423119911634,REAL
